"category","subcategory","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","5/127","112/9397",0.017723575200699,0.327886141212931,0.315604014538763,"3310/3918/330/958/3654",5
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","7/127","204/9397",0.0205261010725718,0.350522649085457,0.337392592528914,"8819/953/915/4939/898/958/3654",7
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","4/127","88/9397",0.0310841200318561,0.492905331933718,0.474441832065172,"623/5329/3689/3053",4
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","5/127","137/9397",0.0379336513198967,0.519891001806779,0.500416658922599,"4001/1509/330/597/5366",5
"Genetic Information Processing","Replication and repair","hsa03460","Fanconi anemia pathway","3/127","55/9397",0.0380160202876247,0.519891001806779,0.500416658922599,"2178/5980/7156",3
"Metabolism","Glycan biosynthesis and metabolism","hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin","2/127","24/9397",0.0412071160924763,0.519891001806779,0.500416658922599,"9956/9953",2
"Organismal Systems","Digestive system","hsa04970","Salivary secretion","4/127","97/9397",0.0421533244708199,0.519891001806779,0.500416658922599,"493/683/4069/3783",4
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","4/127","100/9397",0.0462787641423166,0.540730823136542,0.520475851572869,"914/2056/915/290",4
"Human Diseases","Endocrine and metabolic disease","hsa04934","Cushing syndrome","5/127","155/9397",0.0587729093276301,0.606131714948145,0.583426923349803,"1031/8622/1029/1030/898",5
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","6/127","205/9397",0.0591973232215191,0.606131714948145,0.583426923349803,"1029/1030/9114/5366/898/5933",6
"Human Diseases","Drug resistance: antineoplastic","hsa01523","Antifolate resistance","2/127","30/9397",0.061651793639242,0.606131714948145,0.583426923349803,"2348/6470",2
NA,NA,"hsa04981","Folate transport and metabolism","2/127","31/9397",0.0653366048258129,0.606131714948145,0.583426923349803,"2348/6470",2
"Environmental Information Processing","Signaling molecules and interaction","hsa04514","Cell adhesion molecules","5/127","160/9397",0.065527752967367,0.606131714948145,0.583426923349803,"7412/914/29851/958/3689",5
"Cellular Processes","Cell growth and death","hsa04215","Apoptosis - multiple species","2/127","32/9397",0.0690934257576521,0.61354962072795,0.5905669654233,"330/5366",2
"Metabolism","Carbohydrate metabolism","hsa00051","Fructose and mannose metabolism","2/127","34/9397",0.076812816689061,0.655863280960444,0.631295618942485,"3099/5207",2
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","2/127","36/9397",0.0847899571002177,0.697161869490679,0.671047223834082,"5557/5983",2
"Metabolism","Global and overview maps","hsa01250","Biosynthesis of nucleotide sugars","2/127","37/9397",0.0888691662573507,0.697617547603438,0.671485832923176,"3099/55586",2
"Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","3/127","79/9397",0.0911302201824311,0.697617547603438,0.671485832923176,"2215/3689/3654",3
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","5/127","182/9397",0.100155033802538,0.717202523260369,0.690337184551233,"2215/1509/9114/3689/3654",5
"Cellular Processes","Transport and catabolism","hsa04142","Lysosome","4/127","133/9397",0.105595143393736,0.717202523260369,0.690337184551233,"7805/1509/9114/968",4
"Metabolism","Amino acid metabolism","hsa00260","Glycine, serine and threonine metabolism","2/127","41/9397",0.105736820360289,0.717202523260369,0.690337184551233,"29968/6470",2
"Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","4/127","134/9397",0.10776776131591,0.717202523260369,0.690337184551233,"3932/962/2215/3689",4
"Environmental Information Processing","Signal transduction","hsa04151","PI3K-Akt signaling pathway","8/127","362/9397",0.11676643274243,0.717202523260369,0.690337184551233,"3918/7060/1946/2324/2056/29941/3691/898",8
"Organismal Systems","Endocrine system","hsa04915","Estrogen signaling pathway","4/127","139/9397",0.118930675242153,0.717202523260369,0.690337184551233,"3310/5580/1509/3875",4
"Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","3/127","89/9397",0.119099772723902,0.717202523260369,0.690337184551233,"3918/7060/3691",3
"Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","5/127","196/9397",0.126150930834092,0.717202523260369,0.690337184551233,"440686/2215/3014/366/3689",5
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","4/127","143/9397",0.128208925412047,0.717202523260369,0.690337184551233,"3932/2215/353514/55423",4
"Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","4/127","144/9397",0.130575100562941,0.717202523260369,0.690337184551233,"440686/2215/3014/958",4
"Metabolism","Glycan biosynthesis and metabolism","hsa00514","Other types of O-glycan biosynthesis","2/127","47/9397",0.132456321863402,0.717202523260369,0.690337184551233,"727936/11226",2
"Human Diseases","Endocrine and metabolic disease","hsa04930","Type II diabetes mellitus","2/127","47/9397",0.132456321863402,0.717202523260369,0.690337184551233,"3099/5580",2
"Cellular Processes","Cellular community - eukaryotes","hsa04510","Focal adhesion","5/127","203/9397",0.140213149728738,0.741126648566187,0.713365147742702,"3918/7060/2324/330/3691",5
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","2/127","50/9397",0.146338957121216,0.746737837641477,0.718766150029492,"29851/958",2
"Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","3/127","99/9397",0.149809187844311,0.746737837641477,0.718766150029492,"1573/5580/623",3
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","3/127","102/9397",0.159479895217264,0.746737837641477,0.718766150029492,"2215/3875/3689",3
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","4/127","157/9397",0.162913111186972,0.746737837641477,0.718766150029492,"2056/389668/89790/55423",4
"Human Diseases","Infectious disease: viral","hsa05165","Human papillomavirus infection","7/127","333/9397",0.164160174036979,0.746737837641477,0.718766150029492,"3918/7060/9114/3691/898/5933/4600",7
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","5/127","216/9397",0.168045507315869,0.746737837641477,0.718766150029492,"1573/7412/3310/958/3654",5
"Cellular Processes","Transport and catabolism","hsa04145","Phagosome","4/127","159/9397",0.168130112329046,0.746737837641477,0.718766150029492,"2215/7060/9114/3689",4
"Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","3/127","105/9397",0.169337307802873,0.746737837641477,0.718766150029492,"1302/9056/3783",3
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","3/127","106/9397",0.172662224580425,0.746737837641477,0.718766150029492,"2348/6692/898",3
"Human Diseases","Infectious disease: bacterial","hsa05134","Legionellosis","2/127","56/9397",0.174911565573679,0.746737837641477,0.718766150029492,"3310/3689",2
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","3/127","110/9397",0.186143985527647,0.751459874511338,0.723311306428647,"3099/5163/2056",3
"Environmental Information Processing","Signal transduction","hsa04350","TGF-beta signaling pathway","3/127","110/9397",0.186143985527647,0.751459874511338,0.723311306428647,"7044/1030/5933",3
"Metabolism","Metabolism of other amino acids","hsa00480","Glutathione metabolism","2/127","59/9397",0.189515746381947,0.751459874511338,0.723311306428647,"4257/290",2
"Organismal Systems","Endocrine system","hsa04914","Progesterone-mediated oocyte maturation","3/127","111/9397",0.18955744582268,0.751459874511338,0.723311306428647,"6195/993/891",3
"Metabolism","Energy metabolism","hsa00910","Nitrogen metabolism","1/127","17/9397",0.206672678219912,0.804935694119658,0.774784001452302,"771",1
"Metabolism","Global and overview maps","hsa01200","Carbon metabolism","3/127","117/9397",0.210361572213118,0.805177052264005,0.77501631867991,"3099/29968/6470",3
"Environmental Information Processing","Signal transduction","hsa04010","MAPK signaling pathway","6/127","300/9397",0.21991090030945,0.817514017436938,0.786891159505446,"6195/3310/1946/2324/93589/3654",6
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","3/127","120/9397",0.220949734442416,0.817514017436938,0.786891159505446,"6195/5580/3654",3
"Organismal Systems","Immune system","hsa04660","T cell receptor signaling pathway","3/127","122/9397",0.228068732139294,0.82508438416584,0.794177951567878,"3932/29851/915",3
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","4/127","182/9397",0.231897367798557,0.82508438416584,0.794177951567878,"29992/330/4939/3654",4
"Human Diseases","Cancer: specific types","hsa05221","Acute myeloid leukemia","2/127","68/9397",0.234145568479495,0.82508438416584,0.794177951567878,"597/11040",2
"Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","2/127","70/9397",0.244166184102008,0.83204473107739,0.800877574247084,"958/3689",2
"Human Diseases","Cancer: overview","hsa05230","Central carbon metabolism in cancer","2/127","71/9397",0.249183761426282,0.83204473107739,0.800877574247084,"3099/5163",2
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","4/127","189/9397",0.252410402717693,0.83204473107739,0.800877574247084,"115362/5580/330/4939",4
"Metabolism","Amino acid metabolism","hsa00340","Histidine metabolism","1/127","22/9397",0.258954842734883,0.83204473107739,0.800877574247084,"3176",1
"Genetic Information Processing","Replication and repair","hsa03430","Mismatch repair","1/127","23/9397",0.268993534465301,0.83204473107739,0.800877574247084,"5983",1
"Organismal Systems","Endocrine system","hsa04614","Renin-angiotensin system","1/127","23/9397",0.268993534465301,0.83204473107739,0.800877574247084,"290",1
"Organismal Systems","Excretory system","hsa04964","Proximal tubule bicarbonate reclamation","1/127","23/9397",0.268993534465301,0.83204473107739,0.800877574247084,"358",1
"Metabolism","Global and overview maps","hsa01230","Biosynthesis of amino acids","2/127","75/9397",0.269278847679359,0.83204473107739,0.800877574247084,"29968/6470",2
"Human Diseases","Infectious disease: bacterial","hsa05133","Pertussis","2/127","78/9397",0.28434956229376,0.83204473107739,0.800877574247084,"3689/3654",2
"Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","3/127","138/9397",0.286300925417709,0.83204473107739,0.800877574247084,"6195/3932/3654",3
"Cellular Processes","Cell growth and death","hsa04114","Oocyte meiosis","3/127","139/9397",0.289992916230405,0.83204473107739,0.800877574247084,"6195/891/898",3
"Organismal Systems","Excretory system","hsa04966","Collecting duct acid secretion","1/127","28/9397",0.317198611890731,0.83204473107739,0.800877574247084,"9114",1
"Organismal Systems","Endocrine system","hsa04911","Insulin secretion","2/127","86/9397",0.324347663511572,0.83204473107739,0.800877574247084,"27445/3783",2
"Human Diseases","Cardiovascular disease","hsa05412","Arrhythmogenic right ventricular cardiomyopathy","2/127","86/9397",0.324347663511572,0.83204473107739,0.800877574247084,"93589/3691",2
"Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","2/127","87/9397",0.329314185878695,0.83204473107739,0.800877574247084,"93589/3270",2
"Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","1/127","30/9397",0.335585336374242,0.83204473107739,0.800877574247084,"55586",1
"Metabolism","Lipid metabolism","hsa00591","Linoleic acid metabolism","1/127","30/9397",0.335585336374242,0.83204473107739,0.800877574247084,"1573",1
"Organismal Systems","Digestive system","hsa04976","Bile secretion","2/127","90/9397",0.344152957875622,0.83204473107739,0.800877574247084,"358/366",2
"Human Diseases","Cancer: overview","hsa05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","2/127","90/9397",0.344152957875622,0.83204473107739,0.800877574247084,"3932/915",2
"Organismal Systems","Circulatory system","hsa04261","Adrenergic signaling in cardiomyocytes","3/127","154/9397",0.345611135882921,0.83204473107739,0.800877574247084,"493/6332/93589",3
"Metabolism","Carbohydrate metabolism","hsa00052","Galactose metabolism","1/127","32/9397",0.353480730705476,0.83204473107739,0.800877574247084,"3099",1
"Metabolism","Carbohydrate metabolism","hsa00630","Glyoxylate and dicarboxylate metabolism","1/127","32/9397",0.353480730705476,0.83204473107739,0.800877574247084,"6470",1
"Human Diseases","Immune disease","hsa05310","Asthma","1/127","32/9397",0.353480730705476,0.83204473107739,0.800877574247084,"958",1
"Organismal Systems","Immune system","hsa04658","Th1 and Th2 cell differentiation","2/127","93/9397",0.358887643522896,0.83204473107739,0.800877574247084,"3932/915",2
"Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","2/127","95/9397",0.368645295238475,0.83204473107739,0.800877574247084,"9114/3689",2
"Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","5/127","298/9397",0.376588515567099,0.83204473107739,0.800877574247084,"1230/2056/84957/958/60401",5
NA,NA,"hsa04820","Cytoskeleton in muscle cells","4/127","232/9397",0.383625925521587,0.83204473107739,0.800877574247084,"7060/4001/1302/3691",4
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","1/127","36/9397",0.387849297734519,0.83204473107739,0.800877574247084,"9942",1
"Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","1/127","36/9397",0.387849297734519,0.83204473107739,0.800877574247084,"11226",1
"Human Diseases","Drug resistance: antineoplastic","hsa01522","Endocrine resistance","2/127","99/9397",0.387984663204594,0.83204473107739,0.800877574247084,"1031/1029",2
"Organismal Systems","Immune system","hsa04666","Fc gamma R-mediated phagocytosis","2/127","99/9397",0.387984663204594,0.83204473107739,0.800877574247084,"2215/5580",2
"Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","2/127","99/9397",0.387984663204594,0.83204473107739,0.800877574247084,"93589/3691",2
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","1/127","37/9397",0.396154301386663,0.83204473107739,0.800877574247084,"7412",1
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","2/127","101/9397",0.397558730547801,0.83204473107739,0.800877574247084,"7412/5580",2
"Metabolism","Carbohydrate metabolism","hsa00520","Amino sugar and nucleotide sugar metabolism","1/127","38/9397",0.40434750691272,0.83204473107739,0.800877574247084,"3099",1
"Metabolism","Metabolism of cofactors and vitamins","hsa00760","Nicotinate and nicotinamide metabolism","1/127","38/9397",0.40434750691272,0.83204473107739,0.800877574247084,"683",1
"Organismal Systems","Excretory system","hsa04960","Aldosterone-regulated sodium reabsorption","1/127","38/9397",0.40434750691272,0.83204473107739,0.800877574247084,"3291",1
"Human Diseases","Infectious disease: parasitic","hsa05142","Chagas disease","2/127","103/9397",0.407064360169864,0.83204473107739,0.800877574247084,"915/3654",2
"Human Diseases","Infectious disease: parasitic","hsa05146","Amoebiasis","2/127","103/9397",0.407064360169864,0.83204473107739,0.800877574247084,"3918/3689",2
"Metabolism","Metabolism of cofactors and vitamins","hsa00670","One carbon pool by folate","1/127","39/9397",0.412430407502749,0.83204473107739,0.800877574247084,"6470",1
"Human Diseases","Immune disease","hsa05330","Allograft rejection","1/127","39/9397",0.412430407502749,0.83204473107739,0.800877574247084,"958",1
"Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","2/127","105/9397",0.416498321378904,0.83204473107739,0.800877574247084,"93589/3691",2
"Metabolism","Carbohydrate metabolism","hsa00500","Starch and sucrose metabolism","1/127","40/9397",0.420404476561005,0.83204473107739,0.800877574247084,"3099",1
"Organismal Systems","Digestive system","hsa04972","Pancreatic secretion","2/127","106/9397",0.421187477086567,0.83204473107739,0.800877574247084,"493/683",2
"Genetic Information Processing","Replication and repair","hsa03440","Homologous recombination","1/127","41/9397",0.428271167966022,0.83204473107739,0.800877574247084,"7156",1
"Human Diseases","Cancer: specific types","hsa05219","Bladder cancer","1/127","41/9397",0.428271167966022,0.83204473107739,0.800877574247084,"1029",1
"Human Diseases","Cancer: overview","hsa05206","MicroRNAs in cancer","5/127","318/9397",0.430461043677286,0.83204473107739,0.800877574247084,"993/1946/1029/10642/898",5
"Organismal Systems","Immune system","hsa04620","Toll-like receptor signaling pathway","2/127","109/9397",0.435139405315087,0.83204473107739,0.800877574247084,"958/3654",2
"Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","2/127","109/9397",0.435139405315087,0.83204473107739,0.800877574247084,"3932/915",2
"Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","2/127","109/9397",0.435139405315087,0.83204473107739,0.800877574247084,"6195/5580",2
"Cellular Processes","Transport and catabolism","hsa04144","Endocytosis","4/127","252/9397",0.444674410361373,0.83204473107739,0.800877574247084,"3310/23550/2348/84440",4
"Human Diseases","Infectious disease: bacterial","hsa05131","Shigellosis","4/127","253/9397",0.447687289843508,0.83204473107739,0.800877574247084,"440686/3099/5580/92610",4
"Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","4/127","254/9397",0.450695309970154,0.83204473107739,0.800877574247084,"493/2324/623/3270",4
"Genetic Information Processing","Replication and repair","hsa03410","Base excision repair","1/127","44/9397",0.45124122752854,0.83204473107739,0.800877574247084,"5983",1
"Environmental Information Processing","Membrane transport","hsa02010","ABC transporters","1/127","45/9397",0.458692565506074,0.83204473107739,0.800877574247084,"225",1
"Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","1/127","46/9397",0.466043511205468,0.83204473107739,0.800877574247084,"5698",1
"Organismal Systems","Immune system","hsa04670","Leukocyte transendothelial migration","2/127","116/9397",0.466979753839442,0.83204473107739,0.800877574247084,"7412/3689",2
"Metabolism","Carbohydrate metabolism","hsa00620","Pyruvate metabolism","1/127","47/9397",0.473295406625947,0.83204473107739,0.800877574247084,"97",1
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","2/127","119/9397",0.480301830557188,0.83204473107739,0.800877574247084,"7412/330",2
"Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","3/127","193/9397",0.486268098836667,0.83204473107739,0.800877574247084,"1230/5580/1794",3
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","2/127","122/9397",0.493420670776299,0.83204473107739,0.800877574247084,"140/1509",2
"Cellular Processes","Cell motility","hsa04814","Motor proteins","3/127","197/9397",0.499959045115778,0.83204473107739,0.800877574247084,"3833/51175/90990",3
"Organismal Systems","Digestive system","hsa04979","Cholesterol metabolism","1/127","51/9397",0.50133870748186,0.83204473107739,0.800877574247084,"9388",1
"Human Diseases","Infectious disease: bacterial","hsa05110","Vibrio cholerae infection","1/127","51/9397",0.50133870748186,0.83204473107739,0.800877574247084,"9114",1
"Metabolism","Amino acid metabolism","hsa00270","Cysteine and methionine metabolism","1/127","52/9397",0.508114866710387,0.83204473107739,0.800877574247084,"29968",1
"Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","1/127","52/9397",0.508114866710387,0.83204473107739,0.800877574247084,"1573",1
"Organismal Systems","Digestive system","hsa04973","Carbohydrate digestion and absorption","1/127","52/9397",0.508114866710387,0.83204473107739,0.800877574247084,"3099",1
"Organismal Systems","Excretory system","hsa04961","Endocrine and other factor-regulated calcium reabsorption","1/127","53/9397",0.514799661994258,0.83204473107739,0.800877574247084,"493",1
"Metabolism","Nucleotide metabolism","hsa00230","Purine metabolism","2/127","128/9397",0.519028786061148,0.83204473107739,0.800877574247084,"8622/953",2
"Human Diseases","Immune disease","hsa05320","Autoimmune thyroid disease","1/127","54/9397",0.521394315560903,0.83204473107739,0.800877574247084,"958",1
"Environmental Information Processing","Signal transduction","hsa04068","FoxO signaling pathway","2/127","133/9397",0.539708792650811,0.83204473107739,0.800877574247084,"891/1030",2
"Metabolism","Nucleotide metabolism","hsa00240","Pyrimidine metabolism","1/127","58/9397",0.54689539392164,0.83204473107739,0.800877574247084,"953",1
"Environmental Information Processing","Signal transduction","hsa04015","Rap1 signaling pathway","3/127","212/9397",0.549601571666799,0.83204473107739,0.800877574247084,"1946/2324/3689",3
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","3/127","213/9397",0.552809269415755,0.83204473107739,0.800877574247084,"891/915/3654",3
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","5/127","370/9397",0.564304540773711,0.83204473107739,0.800877574247084,"140/3001/432355/122042/623",5
"Organismal Systems","Digestive system","hsa04978","Mineral absorption","1/127","61/9397",0.565132236302294,0.83204473107739,0.800877574247084,"493",1
NA,NA,"hsa04382","Cornified envelope formation","3/127","217/9397",0.56550601824848,0.83204473107739,0.800877574247084,"3918/3875/3691",3
"Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","3/127","217/9397",0.56550601824848,0.83204473107739,0.800877574247084,"6195/993/4257",3
"Organismal Systems","Aging","hsa04213","Longevity regulating pathway - multiple species","1/127","62/9397",0.571047853910436,0.83204473107739,0.800877574247084,"3310",1
"Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","2/127","142/9397",0.57537739510341,0.83204473107739,0.800877574247084,"134111/330",2
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","2/127","142/9397",0.57537739510341,0.83204473107739,0.800877574247084,"7412/4257",2
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","1/127","63/9397",0.576883624939185,0.83204473107739,0.800877574247084,"3291",1
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","1/127","63/9397",0.576883624939185,0.83204473107739,0.800877574247084,"1573",1
"Genetic Information Processing","Replication and repair","hsa03420","Nucleotide excision repair","1/127","63/9397",0.576883624939185,0.83204473107739,0.800877574247084,"5983",1
"Genetic Information Processing","Information processing in viruses","hsa03250","Viral life cycle - HIV-1","1/127","64/9397",0.582640618685995,0.83204473107739,0.800877574247084,"4600",1
"Metabolism","Lipid metabolism","hsa00561","Glycerolipid metabolism","1/127","65/9397",0.58831989024143,0.83204473107739,0.800877574247084,"9388",1
"Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","1/127","65/9397",0.58831989024143,0.83204473107739,0.800877574247084,"8622",1
"Organismal Systems","Endocrine system","hsa04929","GnRH secretion","1/127","65/9397",0.58831989024143,0.83204473107739,0.800877574247084,"3783",1
"Metabolism","Carbohydrate metabolism","hsa00010","Glycolysis / Gluconeogenesis","1/127","67/9397",0.599449417227069,0.83204473107739,0.800877574247084,"3099",1
"Organismal Systems","Nervous system","hsa04720","Long-term potentiation","1/127","67/9397",0.599449417227069,0.83204473107739,0.800877574247084,"6195",1
"Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","2/127","150/9397",0.605375751875177,0.83204473107739,0.800877574247084,"1030/898",2
"Organismal Systems","Endocrine system","hsa04924","Renin secretion","1/127","69/9397",0.610280369537535,0.83204473107739,0.800877574247084,"358",1
"Cellular Processes","Cell motility","hsa04810","Regulation of actin cytoskeleton","3/127","232/9397",0.611136179938776,0.83204473107739,0.800877574247084,"623/3691/3689",3
"Metabolism","Global and overview maps","hsa01240","Biosynthesis of cofactors","2/127","154/9397",0.619769081203681,0.83204473107739,0.800877574247084,"29968/6470",2
"Human Diseases","Infectious disease: bacterial","hsa05120","Epithelial cell signaling in Helicobacter pylori infection","1/127","71/9397",0.620820695236416,0.83204473107739,0.800877574247084,"9114",1
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","1/127","71/9397",0.620820695236416,0.83204473107739,0.800877574247084,"4257",1
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","3/127","238/9397",0.628480561711879,0.83204473107739,0.800877574247084,"4939/4600/3654",3
"Environmental Information Processing","Signal transduction","hsa04390","Hippo signaling pathway","2/127","157/9397",0.630299495391734,0.83204473107739,0.800877574247084,"330/3689",2
"Metabolism","Carbohydrate metabolism","hsa00562","Inositol phosphate metabolism","1/127","73/9397",0.631078132457538,0.83204473107739,0.800877574247084,"55586",1
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","1/127","73/9397",0.631078132457538,0.83204473107739,0.800877574247084,"4257",1
"Human Diseases","Cancer: specific types","hsa05218","Melanoma","1/127","73/9397",0.631078132457538,0.83204473107739,0.800877574247084,"1029",1
"Human Diseases","Cancer: specific types","hsa05223","Non-small cell lung cancer","1/127","73/9397",0.631078132457538,0.83204473107739,0.800877574247084,"1029",1
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","2/127","159/9397",0.637194183411102,0.83204473107739,0.800877574247084,"330/3014",2
"Human Diseases","Infectious disease: viral","hsa05160","Hepatitis C","2/127","159/9397",0.637194183411102,0.83204473107739,0.800877574247084,"4939/4600",2
"Human Diseases","Cancer: specific types","hsa05214","Glioma","1/127","76/9397",0.645950297796901,0.83204473107739,0.800877574247084,"1029",1
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","2/127","163/9397",0.65068355339811,0.83204473107739,0.800877574247084,"898/3654",2
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","1/127","77/9397",0.650774277217542,0.83204473107739,0.800877574247084,"1029",1
"Human Diseases","Cancer: specific types","hsa05220","Chronic myeloid leukemia","1/127","77/9397",0.650774277217542,0.83204473107739,0.800877574247084,"1029",1
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","1/127","79/9397",0.660227460175232,0.83204473107739,0.800877574247084,"4257",1
"Organismal Systems","Nervous system","hsa04721","Synaptic vesicle cycle","1/127","79/9397",0.660227460175232,0.83204473107739,0.800877574247084,"9114",1
"Environmental Information Processing","Signal transduction","hsa04022","cGMP-PKG signaling pathway","2/127","166/9397",0.66053962683785,0.83204473107739,0.800877574247084,"140/493",2
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00983","Drug metabolism - other enzymes","1/127","81/9397",0.669426715794869,0.83204473107739,0.800877574247084,"4257",1
